train_loss,train_acc,val_loss,val_acc,train_f1,val_f1,epochs
1.1705445779581165,0.8037974683544303,0.8989615104475074,0.9723756906077348,0.8033992648124695,0.9725150465965271,1
0.9975561997762413,0.9047211768730756,0.8798123038276124,0.9779005524861878,0.9047442078590393,0.9779934287071228,2
0.9659823439237887,0.9213137187820732,0.8517994159492999,0.9875690607734806,0.9214751124382019,0.9875668287277222,3
0.9410833558765455,0.9307218611016079,0.8516008860498502,0.9875690607734806,0.9308087825775146,0.9876110553741455,4
0.9324763126459752,0.9403010605542251,0.834458266173937,0.9875690607734806,0.9403777718544006,0.9875776767730713,5
0.922451236457642,0.9442353746151214,0.8377946661322156,0.9903314917127072,0.9442607760429382,0.9903118014335632,6
0.9224585039420687,0.9421826890181321,0.8361959780118742,0.9917127071823204,0.9421977996826172,0.9917497038841248,7
0.9157500693621066,0.9459459459459459,0.8408636295993025,0.9875690607734806,0.9459580183029175,0.9876022934913635,8
0.9135528777993953,0.9464591173451933,0.8378071784973145,0.988950276243094,0.9465462565422058,0.9889642596244812,9
0.9030665186958039,0.9526171741361614,0.8410922199981647,0.9861878453038674,0.9526240825653076,0.9861721396446228,10
0.9158871947923752,0.9471433458775231,0.83729596559514,0.9875690607734806,0.9471707344055176,0.9876049757003784,11
0.9037247831349172,0.9507355456722545,0.8288834029139734,0.9958563535911602,0.950799286365509,0.9958654046058655,12
0.9069576858862434,0.9486828600752651,0.8268575269872971,0.994475138121547,0.9486690759658813,0.9944779276847839,13
0.9048244007189226,0.9526171741361614,0.8265506305747269,0.994475138121547,0.9526665806770325,0.9944705963134766,14
0.9020955568301201,0.9544988026000685,0.8280238449902825,0.9903314917127072,0.9545168876647949,0.9903386831283569,15
0.9097014929674849,0.9481696886760178,0.8364306596102635,0.9917127071823204,0.9481801986694336,0.9917445182800293,16
0.9028488336831301,0.9505644885391721,0.8260215382549644,0.9958563535911602,0.9506141543388367,0.9958654046058655,17
0.8988317103978097,0.9546698597331509,0.8254597503177369,0.9917127071823204,0.9547722339630127,0.9917375445365906,18
0.9028186681863587,0.9503934314060897,0.8392397086264679,0.9875690607734806,0.9504594802856445,0.9876052141189575,19
0.9011514547382606,0.9538145740677386,0.8278325552439821,0.9917127071823204,0.9537588953971863,0.9917087554931641,20
0.90478422688247,0.9503934314060897,0.8365528125789284,0.9903314917127072,0.9504110217094421,0.9903639554977417,21
0.8943751924787529,0.9591173451932946,0.828481411407007,0.9917127071823204,0.9591029286384583,0.9917183518409729,22
0.896499742924902,0.9548409168662333,0.8287368169805621,0.994475138121547,0.9549141526222229,0.9944683313369751,23
0.904071618912769,0.9503934314060897,0.8360782809020406,0.9875690607734806,0.9504433870315552,0.9876270294189453,24
0.8982846249956568,0.9556962025316456,0.8350790021169251,0.9875690607734806,0.9556789994239807,0.9875750541687012,25
0.8999124937909049,0.9517618884707493,0.829195211276165,0.9930939226519337,0.9518582820892334,0.9931048154830933,26
0.9010608304741853,0.9533014026684913,0.8384675716168314,0.988950276243094,0.9533368945121765,0.9889233112335205,27
0.9032038430665154,0.9514197742045843,0.8271491573660413,0.9930939226519337,0.9515067934989929,0.993104100227356,28
