train_loss,train_acc,val_loss,val_acc,train_f1,val_f1,epochs
1.6207105649321039,0.41926103318508384,0.900688606072526,0.7196132596685083,0.383310467004776,0.7065709829330444,1
1.1025796233078327,0.6493328771809784,0.5052330377022864,0.8743093922651933,0.6362751722335815,0.8755760192871094,2
0.8541424030968884,0.7379404721176873,0.3460471121316457,0.9102209944751382,0.7340559363365173,0.9114557504653931,3
0.6823311343794198,0.7854943551146083,0.2758378700986093,0.9295580110497238,0.7833722829818726,0.9304376244544983,4
0.5860502453564863,0.8106397536777283,0.21328736924005476,0.9392265193370166,0.8095502853393555,0.9394262433052063,5
0.5108112458941303,0.8279165241190558,0.17147653529327878,0.9502762430939227,0.8271676898002625,0.9505355358123779,6
0.4549960685110728,0.8499828942866917,0.1455871843377859,0.9640883977900553,0.8501245379447937,0.9642543196678162,7
0.410596747110651,0.8669175504618543,0.13270643604559135,0.962707182320442,0.8669527769088745,0.9629632234573364,8
0.3754679402065652,0.8770099213137188,0.10637775022351281,0.9696132596685083,0.8770560622215271,0.96968013048172,9
0.3369794605408798,0.8867601778994184,0.08228949939019113,0.9765193370165746,0.8866240978240967,0.9766753315925598,10
0.3265367139091322,0.898392062949025,0.09892844036221504,0.9723756906077348,0.8983746767044067,0.972467303276062,11
0.3035340651721935,0.8971946630174479,0.06859542762870946,0.9779005524861878,0.8972024917602539,0.9779300689697266,12
0.29167256878483105,0.9055764625384879,0.06480812516001706,0.9875690607734806,0.9056491255760193,0.987565815448761,13
0.2634706309742606,0.9148135477249402,0.05715698731332523,0.9848066298342542,0.9147214293479919,0.9848315119743347,14
0.2540129440678255,0.9184057475196715,0.05451847873216505,0.9834254143646409,0.9185844659805298,0.9834612607955933,15
0.22744499319247338,0.9274717755730414,0.048453898925478286,0.988950276243094,0.9275659322738647,0.9889408946037292,16
0.21891725009286236,0.9329456038316798,0.04876480613788847,0.9861878453038674,0.9329804182052612,0.9862246513366699,17
0.2204699097096084,0.9291823469038659,0.039611436838273846,0.9917127071823204,0.9291607141494751,0.9917110204696655,18
0.20532368534931858,0.9346561751625043,0.0506092040125507,0.9903314917127072,0.9347293376922607,0.9903125762939453,19
0.20810190355006938,0.9332877180978447,0.04566219989570547,0.9834254143646409,0.9333653450012207,0.9835090637207031,20
0.20163486318314194,0.9370509750256586,0.03099571419519614,0.994475138121547,0.9370650053024292,0.9944746494293213,21
0.1830027728018759,0.9360246322271639,0.03557051531970501,0.9917127071823204,0.936015248298645,0.991762638092041,22
0.1864839226894496,0.9389326034895655,0.03869062277246575,0.988950276243094,0.9390498995780945,0.989037275314331,23
0.180164843680432,0.9401300034211426,0.03410916723496183,0.9875690607734806,0.9401741623878479,0.9876171350479126,24
0.17027407887146728,0.9462880602121109,0.023435458435435156,0.994475138121547,0.9463171362876892,0.9944750070571899,25
0.16109759087686745,0.9510776599384194,0.026396328549914434,0.9903314917127072,0.951060950756073,0.990334153175354,26
0.15876805978969602,0.9462880602121109,0.025413986349488656,0.9930939226519337,0.9463552236557007,0.9930946826934814,27
0.16462873047446494,0.9466301744782758,0.02266102695377101,0.9917127071823204,0.946631908416748,0.9916948080062866,28
0.16160323994640124,0.9452617174136162,0.030426409126398313,0.9917127071823204,0.9453370571136475,0.9917657375335693,29
0.1544144998775783,0.9493670886075949,0.020481697938440995,0.9930939226519337,0.9493797421455383,0.9931010007858276,30
0.16261826474200444,0.9454327745466986,0.01582083534655156,0.9972375690607734,0.9454794526100159,0.9972372651100159,31
0.15299487495785333,0.9503934314060897,0.022399271244069985,0.9917127071823204,0.9503976106643677,0.9917014837265015,32
0.13846634339580705,0.9563804310639754,0.029393020317534716,0.9917127071823204,0.9563799500465393,0.9917137622833252,33
0.1426005377840433,0.952446117003079,0.023829273920691476,0.9903314917127072,0.9524340629577637,0.9903295636177063,34
0.14195933733600646,0.9546698597331509,0.016106121352673072,0.9958563535911602,0.9547342658042908,0.9958639144897461,35
0.13283293788377712,0.955867259664728,0.012124537647243857,0.9986187845303868,0.9559231400489807,0.9986186623573303,36
0.11876288683287828,0.9579199452617174,0.01572934422997027,0.9958563535911602,0.957907497882843,0.9958598017692566,37
0.11389367238548656,0.9637358877865208,0.01330037857534477,0.994475138121547,0.9637503027915955,0.994479775428772,38
0.122330216980841,0.9635648306534382,0.012775040948146039,0.994475138121547,0.9636074304580688,0.9944864511489868,39
0.11146421617854754,0.9644201163188505,0.012660437144560338,0.9972375690607734,0.9643957614898682,0.9972412586212158,40
0.11176291449180907,0.966130687649675,0.014094187330727296,0.9972375690607734,0.9661967158317566,0.9972412586212158,41
