method,score,threshold
resnet18_supcon,0.5355457227136763,0.48290910555990163
resnet18_triplet,0.504965585054417,0.3341403627026204
dense121_supcon,0.4917970240366431,0.6720479726791377
dense121_triplet,0.49599389546042705,0.3336163461206871
