train_loss,train_acc,val_loss,val_acc,train_f1,val_f1
1.9067951480649736,0.33226221079691515,1.5055075684672456,0.5205655526992288,0.2729227542877197,0.44501039385795593
1.4156240555804922,0.6211439588688946,1.1560177367879676,0.7660668380462725,0.5608266592025757,0.7079052925109863
1.127823161894987,0.7795629820051414,0.9144974741653795,0.8521850899742931,0.7315623760223389,0.8146200180053711
0.9288353084904982,0.8226221079691517,0.7615005593066964,0.9010282776349614,0.777658224105835,0.8859341144561768
0.7930438489411361,0.9074550128534704,0.6131434820611557,0.9562982005141388,0.8922864198684692,0.9469479322433472
0.6678219419212145,0.9408740359897172,0.5102950349871481,0.9652956298200515,0.9264530539512634,0.9563938975334167
0.5817873006001842,0.9501928020565553,0.42985609610466846,0.9652956298200515,0.936989963054657,0.9563938975334167
0.5478815287734672,0.9514781491002571,0.4191042226200545,0.9652956298200515,0.9384239912033081,0.9563938975334167
0.5393168164709233,0.9498714652956298,0.43543760451682123,0.9652956298200515,0.936725914478302,0.9563938975334167
0.5298832711646367,0.9498714652956298,0.4008897838678335,0.9652956298200515,0.9369169473648071,0.9563938975334167
0.5146574610916079,0.9524421593830334,0.40350005988290194,0.9652956298200515,0.9395031332969666,0.9563938975334167
0.5068389955706952,0.9514781491002571,0.39488009453432726,0.9652956298200515,0.9384912252426147,0.9563938975334167
0.5033389192007501,0.9517994858611826,0.3883219715255698,0.9652956298200515,0.9388254880905151,0.9563938975334167
0.5016244300533383,0.9524421593830334,0.3808782405595853,0.9652956298200515,0.9395626187324524,0.9563938975334167
0.49751718828794583,0.9498714652956298,0.37726529000044484,0.9652956298200515,0.9368909597396851,0.9563938975334167
0.4965708363025538,0.9530848329048843,0.38674494830992046,0.9665809768637532,0.9401518106460571,0.9576845169067383
0.4956711512298388,0.9517994858611826,0.3791606337368335,0.9665809768637532,0.9388930797576904,0.9576845169067383
0.4945288380191381,0.9511568123393316,0.3889039106724501,0.9652956298200515,0.9380812644958496,0.9563938975334167
0.4833619914814868,0.9534061696658098,0.3766856241042326,0.9665809768637532,0.9404661655426025,0.9576845169067383
0.4810819386823012,0.955655526992288,0.3752959742950596,0.9652956298200515,0.9427471160888672,0.9563938975334167
