model,accuracy_mean,accuracy_std,f1_mean,f1_std
RandomForest,0.6264731182795699,0.0058649593348676105,0.6317052363752752,0.005577078330421322
XGBoost,0.6311827956989248,0.0,0.6378360840886342,0.0
