method,score,threshold
resnet18_supcon,0.09873482160504295,0.548686994817029
resnet18_triplet,0.12432270939708215,0.4517003640101657
dense121_supcon,0.10387965776909341,0.6187557612571296
dense121_triplet,0.10647193311351943,0.45685082676317806
