train_loss,train_acc,val_loss,val_acc,train_f1,val_f1
2.0096054493921276,0.4910025706940874,1.7477536348573346,0.6658097686375322,0.43235358595848083,0.5924086570739746
1.5296797540929445,0.7397172236503856,1.3383344074754298,0.7609254498714653,0.6789596080780029,0.6976047158241272
1.1942339256061074,0.8126606683804627,1.0532495152674481,0.8251928020565553,0.7626956105232239,0.7660893201828003
0.9543193701300339,0.8377249357326478,0.8591618530241567,0.8277634961439588,0.7929927110671997,0.7754188179969788
0.7872547159464622,0.8582904884318766,0.7047381241707692,0.8663239074550129,0.8220410346984863,0.8301745057106018
0.6603221937745886,0.8711439588688946,0.5917106325185084,0.8727506426735219,0.8393144607543945,0.8388965129852295
0.5700184002633573,0.8836760925449871,0.49773407610645637,0.8868894601542416,0.8537646532058716,0.855034589767456
0.5209342478786458,0.8910668380462725,0.4996969317562476,0.8894601542416453,0.8616853356361389,0.8575605750083923
0.5118353302497177,0.8872107969151671,0.4977849669045838,0.8766066838046273,0.8580130934715271,0.8440893888473511
0.5072318553771336,0.8952442159383034,0.4842862814741453,0.890745501285347,0.8657394647598267,0.859087347984314
0.5005095901403451,0.8955655526992288,0.4733602743988478,0.8894601542416453,0.8663053512573242,0.857697069644928
0.49052000612710006,0.894280205655527,0.4686165738534805,0.8881748071979434,0.8648096323013306,0.8561094999313354
0.4847926158831481,0.8939588688946015,0.45910878314763537,0.8894601542416453,0.8647048473358154,0.8574470281600952
0.47578761494864535,0.8926735218508998,0.4516216842864657,0.8894601542416453,0.8638300895690918,0.8574306964874268
0.46980578595997435,0.8926735218508998,0.4512097491549955,0.8868894601542416,0.8635057210922241,0.8550595045089722
0.4733920488841736,0.8881748071979434,0.4472480117508562,0.8894601542416453,0.8588310480117798,0.8577591776847839
0.47250225718652683,0.8920308483290489,0.4448175916788204,0.8894601542416453,0.8629328012466431,0.857578456401825
0.46059998954169856,0.9000642673521851,0.44677522495044225,0.890745501285347,0.8707917928695679,0.8586441278457642
0.47301691310877664,0.897172236503856,0.45342349737959226,0.8868894601542416,0.8677554726600647,0.8551052808761597
0.47802721887137406,0.8913881748071979,0.4422923858184128,0.890745501285347,0.8620926737785339,0.8587854504585266
